input_text,target_text
Someone screamed.,Biri feryat etti.
Someone was here.,Birisi buradaydı.
Someone's coming.,Birisi geliyor.
Someone's eating.,Birisi yemek yiyor.
Something bit me.,Bir şey beni ısırdı.
Something hit me.,Bir şey bana çarptı.
Sorry about that.,Onun için üzgünüm.
Sorry to be late.,Geç kaldığım için üzgünüm.
"Sorry, I am late.","Üzgünüm, geç kaldım."
"Speak to me, Tom.","Benimle konuş, Tom."
"Speak to us, Tom.","Bizimle konuş, Tom."
"Speak up, please.","Yüksek sesle konuş, lütfen."
Spiders scare me.,Örümcekler beni korkutur.
"Spit it out, Tom.",Haydi söylesene.
"Spit it out, Tom.",Çıkar ağzından baklayı.
Spring is coming.,İlkbahar geliyor.
Stand over there.,Orada durun.
"Stand up, please.","Ayağa kalk, lütfen."
Start the engine.,Motoru çalıştır
Stay close to me.,Bana yakın dur.
Stay for a while.,Bir süre kalın.
Stay in your car.,Arabanda kal.
Stay in your car.,Arabanızda kalın.
Stay on the path.,Yol üzerinde kal.
Stay out of here.,Buradan uzak dur.
Stay out of this.,Bu işe karışma.
Stay put for now.,Şimdilik kıpırdamadan dur.
Stay quite still.,Oldukça durgun kal.
Stay right there.,Tam orada kal.
Step to the side.,Yan adım.
Stop apologizing.,Özür dilemeyi kes.
Stop avoiding me.,Benden çekinmeyi bırak.
Stop being cruel.,Acımasız olmaktan vazgeç.
Stop being nosey.,Meraklı olmayı bırak.
Stop daydreaming.,Hayal kurmayı kes.
Stop daydreaming.,Hayal kurmayı bırak.
Stop daydreaming.,Hayale dalma.
Stop hitting Tom.,Tom'a vurmayı kes.
Stop interfering.,Müdahale etmeyi bırak.
Stop lying to me.,Bana yalan söylemeyi bırak.
Stop pinching me.,Beni çimdiklemeyi bırak.
Stop right there.,Orada dur.
Stop saying that!,Böyle söylemeyi bırak!
Stop saying that.,Onu söylemekten vazgeç.
Stop scaring Tom.,Tom'u korkutmayı kes.
Stop showing off!,Hava atmayı bırak.
Stop teasing Tom.,Tom'la alay etmeyi durdur.
Stop the car now!,Şimdi arabayı durdur!
Stop the car now.,Arabayı hemen durdur.
Stop touching me.,Bana dokunmayı bırak.
Summer has ended.,Yaz sona erdi.
Summer is coming.,Yaz mevsimi geliyor.
Superman can fly.,Süpermen uçabilir.
"Sure, I'll do it.","Tabi, onu yapacağım."
Swallow the pill.,Hapı yut.
Swimming is easy.,Yüzme kolaydır.
Take Tom outside.,Tom'u dışarı götür.
Take Tom's place.,Tom'un yerini al.
"Take a hike, Tom.","Bir yürüyüş yap, Tom."
"Take a look, Tom.","Bir göz at, Tom."
"Take a seat, Tom.","Otur, Tom."
Take a short cut.,Kestirmeden gidelim.
Take a step back.,Bir adım geri atın.
Take care of Tom.,Tom'la ilgilen.
"Take it easy, OK?","Yavaş ol, tamam mı?"
Take it upstairs.,Onu yukarıya götür.
Take me with you.,Beni de götür.
Take our picture.,Resmimizi çek.
Take precautions.,Önlemler alın.
Take small steps.,Küçük adımlar atın.
Take this to Tom.,Bunu Tom'a götür.
Take us with you.,Bizi seninle götür.
Talk to me later.,Benimle daha sonra konuş.
Talk to somebody.,Birisiyle konuş.
Tell Dad to come.,Babama gelmesini söyle.
Tell Tom to stop.,Tom'a durmasını söyle.
Tell Tom to wait.,Tom'a beklemesini söyle.
Tell him to wait.,Ona beklemesini söyle.
Tell me about it!,Bana ondan bahset!
Tell me about it.,Bana ondan bahset.
Tell me his name.,Bana onun adını söyle.
Tell me the news.,Bana haberi söyle.
Tell me the rest.,Bana geri kalanını anlat.
Tell that to Tom.,Onu Tom'a söyle.
Thank Tom for me.,Benim için Tom'a teşekkür et.
Thank you kindly.,İçtenlikle teşekkür ederim.
Thanks a million.,Milyonlarca teşekkürler.
Thanks for lunch.,Öğle yemeği için teşekkürler.
Thanks very much.,Çok teşekkürler.
That baby is Tom.,O bebek Tom'dur.
That bag is mine.,O çanta benim.
That book is old.,Şu kitap eski.
That book's mine.,Bu kitap benim.
That can't be it.,O bu olamaz.
That car is hers.,O araba onunki.
That car is mine.,O araba benimki.
That concerns me.,O beni ilgilendiriyor.
That couldn't be.,O olamadı.
That couldn't be.,Olamazdı.
That did me good.,O bana iyi geldi.
That didn't help.,Bu yardım etmedi.
That didn't hurt.,O incitmedi.
That didn't work.,O işe yaramadı.
That explains it.,O onu açıklıyor.
That girl is hot.,O kız seksi.
That helps a bit.,Bu biraz yardımcı olur.
That helps a lot.,Bu çok yardımcı olur.
That is a pencil.,O bir kurşun kalem.
That is enormous.,O kocaman.
That is my house.,O benim evim.
That is my place.,O benim yerim.
That is not true.,O doğru değil.
That isn't a cat.,Bu bir kedi değil.
That isn't funny.,O komik değil.
That isn't paper.,O gazete değil.
That isn't right.,O doğru değil.
That looks close.,O yakın görünüyor.
That made me cry.,O beni ağlattı.
That made me mad.,O beni deli etti.
That makes sense.,Mantıklı.
That man is dead.,O adam ölü.
That may be true.,O doğru olabilir.
That must be Tom.,O Tom olmalı.
That must be fun.,O eğlenceli olmalı.
That person died.,O kişi öldü.
That plan failed.,O plan başarısız oldu.
That seems clear.,O temiz görünüyor.
That seems right.,O doğru görünüyor.
That seems right.,Bu doğru görünüyor.
That seems silly.,O aptalca görünüyor.
That seems weird.,O garip görünüyor.
That seems wrong.,O yanlış görünüyor.
That should help.,O yardımcı olmalı.
That smells good.,O güzel kokuyor.
That smells nice.,O güzel kokuyor.
That sounds cool.,O harika görünüyor.
That sounds fair.,Adil görünüyor.
That sounds good.,O iyi görünüyor.
That sounds nice.,O hoş görünüyor.
That sounds okay.,O iyi görünüyor.
That troubles me.,O beni rahatsız ediyor.
That was a shock.,O bir şoktu.
That was amazing.,O şaşırtıcıydı.
That was awesome.,O korkunçtu.
That was awkward.,O sakardı.
That was evident.,O belirgindi.
That was foolish.,O aptalcaydı.
That was helpful.,O yardımcıydı.
That was my goal.,O benim hedefimdi.
That was my idea.,O benim fikrimdi.
That was no good.,O iyi değildi.
That was nothing.,"O, bir şey değildi."
That was obvious.,O belliydi.
That was our job.,O bizim işimizdi.
That was perfect.,O mükemmeldi.
That was pitiful.,O zavallıydı.
That was serious.,O ciddiydi.
That was so cool.,O çok güzeldi.
That was so good.,Bu çok iyiydi.
That was strange.,O garipti.
That wasn't cool.,O harika değildi.
That wasn't good.,O iyi değildi.
That wasn't hard.,O zor değildi.
That wasn't nice.,O güzel değildi.
That wasn't real.,O gerçek değildi.
That wasn't true.,O doğru değildi.
"That way, please.","O taraftan, lütfen."
That will not do.,Bu yeterli değil.
That worked well.,Bu iyi çalıştı.
That'll be great.,Bu harika olacak.
That'll be tough.,Bu zor olacak.
That's Tom's car.,"O, Tom'un arabası."
That's Tom's job.,"O, Tom'un işi."
That's a bad pun.,O kötü bir cinastı.
That's a bad pun.,O kötü bir kelime oyunu.
That's a big job.,O büyük bir iş.
That's a big kid.,Bu büyük bir çocuk.
That's a big lie.,O büyük bir yalan.
That's a big one.,O büyük olandır.
That's a gimmick.,Bu bir hile.
That's a mistake.,Bu bir hata.
That's a problem.,Bu bir sorun.
That's a problem.,Bu bir problem.
That's a promise.,O bir söz.
That's a tragedy.,Bu bir trajedi.
That's about all.,Bu neredeyse hepsi.
That's all I ask.,Bütün soracağım bu.
That's all I did.,Tüm yaptığım bu.
That's all I got.,Tek sahip olduğum şey bu.
That's all I saw.,Gördüğümün hepsi o.
That's all folks.,Hepsi bu kadar millet.
That's all we do.,Tüm yaptığımız bu.
That's all wrong.,Bu tamamen yanlış.
That's an insult.,O bir hakaret.
That's an option.,Bu bir seçenek.
That's appalling.,O korkunç.
That's avoidable.,O önlenebilir.
That's bad karma.,O kötü karmadır.
That's beautiful.,O güzel.
That's beautiful.,O güzeldir.
That's beautiful.,Bu güzel.
That's beyond me.,O beni aşar.
That's blackmail.,O bir şantaj.
That's brilliant!,O zekice.
That's confusing.,O kafa karıştırıcı.
That's dangerous.,O tehlikeli.
That's debatable.,O tartışılabilir.
That's different.,Bu farklı.
That's dishonest.,O şerefsiz.
That's dishonest.,O sahtekar.
That's excellent.,O mükemmel.
That's expensive.,O pahalı.
That's fantastic.,O harika.
That's fortunate.,O şanslı.
That's good news.,Bu iyi haber.
That's good soup.,O iyi çorba.
"That's good, too.",Bu da iyi.
That's hilarious.,O eğlendirici.
That's his horse.,"O, onun atı."
That's his house.,Bu onun evi.
That's how it is.,O olduğu gibidir.
That's important.,O önemli.
That's incurable.,Bu tedavi edilemez.
That's ingenious.,Bu ustaca.
That's insulting.,Bu hakarettir.
That's just fine.,Bu sadece iyi.
That's just life.,Bu sadece hayat.
That's just mean.,Bu sadece pinti.
That's just sick.,Bu sadece hasta.
That's ludicrous.,O gülünç.
"That's mine, too.",O da benim.
That's my affair.,"O, benim meselemdir."
That's my answer.,Bu benim cevabım.
That's my father.,Bu benim babam.
That's my jacket.,O benim ceketim.
That's my mother.,Bu benim annem.
That's my pencil.,O benim kurşun kalemim.
That's my secret.,O benim sırrım.
That's my sister.,O benim kız kardeşim.
That's my sister.,Bu benim kız kardeşim.
That's my theory.,Bu benim teorim.
That's no excuse.,O mazeret değil.
That's no secret.,Bu sır değil.
That's not a job.,Bu bir iş değil.
That's not cheap.,Bu ucuz değil.
That's not clear.,Bu temiz değil.
That's not funny.,Hiç komik değil.
That's not legal.,Bu yasal değil.
That's not right.,Bu doğru değil.
That's not scary.,"O, korkutucu değil."
That's not wrong.,Bu yanlış değil.
That's not yours.,Bu senin değil.
That's not yours.,Bu seninki değil.
That's offensive.,Bu hakarettir.
That's only fair.,Bu sadece adil.
That's our fault.,O bizim hatamız.
That's our house.,O bizim ev.
That's our money.,Bu bizim paramız.
That's our train.,O bizim tren.
That's plausible.,Bu makul.
That's pointless.,O yararsız.
That's quite new.,Bu oldukça yeni.
That's real gold.,O gerçek altın.
That's real nice.,Bu gerçek güzel.
That's realistic.,O gerçekçi.
That's so creepy.,Bu çok ürkütücü.
That's so freaky.,O çok garip.
That's so ironic.,O çok ironik.
That's so stupid.,O çok aptalca.
That's so tragic.,O çok trajik.
That's so unfair.,Çok adil değil.
That's so unfair.,Çok haksızca.
That's so untrue.,Bu çok doğru değil.
That's the hotel.,O oteldir.
That's the issue.,Konu odur.
That's the issue.,Bu konudur.
That's the issue.,Sorun odur.
That's the issue.,Mesele odur.
That's the limit.,Bu sınırdır.
That's the offer.,Teklif bu.
That's the point.,Konu odur.
That's the story.,Bu hikayedir.
That's the trick.,Bu hiledir.
That's the truth.,Bu gerçektir.
That's the worst.,Bu en kötüsü.
That's too heavy.,Bu çok ağır.
That's too risky.,Bu çok riskli.
That's troubling.,O rahatsız edici.
"That's true, too.",O da doğru.
That's unethical.,O etik dışı.
That's unrelated.,O ilgisiz.
That's up to Tom.,O Tom'a kalmış.
That's up to you.,O size kalmış.
That's very cool.,O çok harika.
That's very cute.,Bu çok şirin.
That's very easy.,Bu çok kolay.
That's very good.,Bu çok iyi.
That's very kind.,Bu çok nezaketli.
That's very nice.,Bu çok güzel.
That's very rare.,Bu çok nadir.
That's very true.,Bu çok doğru.
That's what I do.,Yaptığım şey bu.
That's wonderful!,O harika!
That's wonderful.,O harika.
That's your call.,O senin çağrın.
That's your duty.,O senin görevin.
That's your gift.,O senin armağanın.
That's your idea.,O senin fikrin.
That's your loss.,O senin kaybın.
That's your seat.,O senin koltuğun.
That’s a skull.,O bir kafatası.
The TV is broken.,TV çalışmıyor.
The answer is 42.,Cevap 42'dir.
The answer is no.,Cevap hayır.
The answer's yes.,Cevap evettir.
The apple is red.,Elma kırmızı.
The baby's awake.,Bebek uyanık.
The bag is empty.,Çanta boş.
The ball was wet.,Top ıslaktı.
The ballon burst.,Balon patladı.
The bank is open.,Banka açık.
The battery died.,Pilin şarjı bitti.
The bill was $30.,Hesap 30 dolardı.
"The bill, please.","Hesap, lütfen."
The bird is dead.,Kuş öldü.
The book is easy.,Kitap kolay.
The book is here.,Kitap burada.
The book is mine.,O benim kitabım.
The book's white.,Kitap beyaz.
The box is empty.,Kutu boş.
The box is heavy.,Kutu ağırdır.
The box is heavy.,Kutu ağır.
The boy has guts.,Çocuk cesur.
The boy ran away.,Çocuk kaçtı.
The boy was full.,Çocuk toktu.
The boys are out.,Çocuklar dışarıdalar.
The bus was full.,Otobüs doluydu.
The bus was late.,Otobüs geç kaldı.
The cage is open.,Kafes açık.
The can is empty.,Teneke boş.
The car is ready.,Araba hazır.
The cat is black.,Kedi siyah.
The cat is brown.,Kedi kahverengi.
The cat ran away.,Kedi kaçtı.
The cost is $300.,Maliyeti 300 dolar.
The crowd moaned.,Kalabalık inledi.
The curtain fell.,Her şey bitti.
The curtain fell.,Perde düştü.
The curtain fell.,İşte bu kadardı.
The curtain fell.,Hepsi bu kadardı.
The curtain rose.,Perde kalktı.
The deal is done.,Anlaşma hazır.
The dent is huge.,Göçük büyük.
The dog is dying.,Köpek ölüyor.
The dog is smart.,Köpek akıllıdır.
The dog is white.,Köpek beyaz.
The dog was dead.,Köpek öldü.
The dogs are wet.,Köpekler ıslak.
The door creaked.,Kapı gıcırdadı.
The door is ajar.,Kapı aralık.
The door is open.,Kapı açıktır.
The door is open.,Kapı açık.
The doors opened.,Kapılar açıldı.
The driver is OK.,Şoför iyidir.
The end is clear.,Sonu belirgin.
The fans cheered.,Hayran kitlesi alkışladı.
The feud is over.,Kan davası bitti.
The fire was out.,Yangın bitmişti.
The food is cold.,Yiyecekler soğuk.
The food is fine.,Yemek iyi.
The food is good.,Yemek güzel.
The game is over.,Oyun bitti.
The gate is open.,Kapı açık.
The grill is hot.,Izgara sıcak.
The gun went off.,Silah bozuldu.
The hat is yours.,Şapka senin.
The hunt is over.,Av bitti.
The jar is empty.,Kavanoz boş.
The jury is back.,Jüri geri döndü.
The jury is hung.,Jüri asıldı.
The kid got hurt.,Çocuk incindi.
The lab is empty.,Laboratuvar boş.
The law is clear.,Yasa açık.
The lid came off.,Kapak çıktı.
The light is off.,Işık kapalı.
The light is out.,Işık söndü.
The light was on.,Işık açıktı.
The line is busy.,Hat meşgul.
The man is naked.,Adam çıplak.
The man is right.,Adam haklı.
The man ran away.,Adam kaçtı.
The man stood up.,Adam ayağa kalktı.
The mass is over.,Ayin bitti.
The meat spoiled.,Et bozuldu.
The mic is yours.,Mikrofon sizindir.
The milk is sour.,Süt ekşi.
The milkman died.,Sütçü öldü.
The moon has set.,Ay battı.
The night is hot.,Gece sıcaktır.
The pain is gone.,Ağrı geçti.
The party's over.,Parti bitti.
The pie is fresh.,Pasta taze.
The play is over.,Oyun bitti.
The pot was mine.,Saksı benimdi.
The race is over.,Yarış bitti.
The radio was on.,Radyo açıktı.
The rain stopped.,Yağmur durdu.
The rest is easy.,Gerisi kolay.
The rest is here.,Gerisi burada.
The road was icy.,Yol buzluydu.
The room was hot.,Oda sıcaktı.
The salt ran out.,Tuz bitti.
The sea is rough.,Deniz haşindir.
The sea was calm.,Deniz sakindi.
The show is over.,Gösteri bitti.
The sky is clear.,Gökyüzü açık.
The sky was blue.,Gökyüzü maviydi.
The sky was dark.,Gökyüzü karanlıktı.
The sky was gray.,Gökyüzü külrengiydi.
The soup is cold.,Çorba soğuk.
The storm abated.,Fırtına yatıştı.
The storm abated.,Fırtına dindi.
The storm let up.,Fırtına sakinleşti.
The sun came out.,Güneş çıktı.
The switch is on.,Anahtar açık.
The tank is full.,Depo doludur.
The towel is dry.,Havlu kuru.
The towel is wet.,Havlu ıslak.
The twins helped.,İkizler yardım etti.
The twins smiled.,İkizler gülümsedi.
The two chuckled.,İki kişi kıkır kıkır güldü.
The wait is over.,Bekleme bitti.
The water is hot.,Su sıcak.
The water is icy.,Su buz gibi.
The water's cold.,Su soğuk.
The water's warm.,Su sıcak.
The week is over.,Hafta bitti.
The well ran dry.,Kuyu kurudu.
The whistle blew.,Düdük üfledi.
The wind stopped.,Rüzgar durdu.
The wine is good.,Şarap iyidir.
The woman is fat.,Kadın şişman.
The woman is fat.,Kadın şişmandır.
The work is done.,İş yapılmıştır.
The world is big.,Dünya büyük.
The wound healed.,Yara iyileşti.
There are limits.,Sınırlar var.
There aren't any.,Hiç yok.
There is no food.,Yiyecek yok.
There is no hope.,Ümit yok.
There is nothing.,Bir şey yok.
There is one way.,Bir yol var.
There is silence.,Sessizlik var.
There isn't time.,Zaman yok.
There she stands.,O orada duruyor.
There was enough.,Yeterince vardı.
There were costs.,Masraflar vardı.
There were riots.,Ayaklanmalar vardı.
There were risks.,Riskler vardı.
There'll be more.,Daha fazla olacak.
There're my kids.,Çocuklarım var.
There's a mirror.,Bir ayna var.
There's no doubt.,Hiç şüphe yok.
There's no guard.,Gardiyan yok.
There's no hurry.,Hiç acelesi yok.
There's no knife.,Hiç bıçak yok.
There's no limit.,Hiçbir sınırlama yok.
There's no money.,Para yok.
There's no proof.,Kanıt yok.
There's no sugar.,Hiç şeker yok.
There's no water.,Su yok.
There's one left.,Kalan bir tane var.
There's one more.,Bir tane daha var.
There's some ice.,Biraz buz var.
There's the bell.,Çan var.
There's the door.,Kapı var.
There's the exit.,Çıkış var.
There's time now.,Şimdi zaman var.
These are daises.,Bunlar papatya.
These are my CDs.,Bunlar benim CD'lerim.
They all changed.,Onların hepsi değiştiler.
They all cheated.,Onların hepsi aldattı.
They all cheered.,Onların hepsi tezahürat yaptılar.
They all drowned.,Onların hepsi boğuldu.
They all entered.,Onların hepsi girdiler.
They all giggled.,Onların hepsi kıkır kıkır güldü.
They all laughed.,Onların hepsi güldüler.
They all love me.,Hepsi beni sever.
They all reacted.,Onların hepsi tepki gösterdiler.
They all scoffed.,Onların hepsi alay etti.
They all stopped.,Onların hepsi durdular.
They all watched.,Onların hepsi izledi.
They all watched.,Hepsi izledi.
They ambushed us.,Bizi pusuya düşürdüler.
They ambushed us.,Onlar bizi pusuya düşürdü.
They appear dead.,Onlar ölü görünüyorlar.
They are Russian.,Onlar Rus.
They are arguing.,Tartışıyorlar.
They are artists.,Onlar sanatçılar.
They are at work.,Onlar işteler.
They are doctors.,Onlar doktordur.
They are singers.,Onlar şarkıcıdır.
They aren't dead.,Onlar ölü değiller.
They aren't here.,Onlar burada değiller.
They aren't mine.,Onlar benimki değil.
They aren't rich.,Onlar zengin değiller.
They arrested me.,Beni tutukladılar.
They believe you.,Onlar sana inanıyorlar.
They believe you.,Sana inanıyorlar.
They betrayed me.,Onlar bana ihanet etti.
They blocked her.,Onu engellediler.
They both agreed.,Onların her ikisi de kabul ettiler.
They both smiled.,Onların ikisi de gülümsedi.
They call me Tom.,Bana Tom derler.
They call me Tom.,Onlar bana Tom derler.
They calmed down.,Onlar sakinleşti.
They deceived us.,Onlar bizi kandırdı.
They deceived us.,Onlar bizi aldattı.
They deceived us.,Onlar bizi kafesledi.
They deceived us.,Onlar bizi kekledi.
They demoted you.,Onlar seni aşağı rütbeye indirdiler.
They demoted you.,Rütbeni düşürdüler.
They deserved it.,Onlar onu hak etti.
They despise you.,Onlar seni küçümsüyor.
They did nothing.,Onlar hiçbir şey yapmadı.
They didn't know.,Onlar bilmiyordu.
They didn't talk.,Konuşmadılar.
They didn't talk.,Anlatmadılar.
They disappeared.,Onlar kayboldular.
They drink a lot.,Onlar çok fazla içer.
They dug a grave.,Onlar bir mezar kazdı.
They feel hungry.,Onlar açlık hissediyorlar.
They fell silent.,Onlar sustular.
They felt better.,Onlar daha iyi hissetti.
They forgave you.,Onlar seni affettiler.
They go shopping.,Alışverişe giderler.
They got crushed.,Onlar ezildiler.
They got in line.,Sıraya girdiler.
They got married.,Onlar evlendiler.
They got nothing.,Onların hiçbir şeyi yok.
They grew closer.,Onlar yaklaştı.
They had a fight.,Onlar dövüştü.
They had no food.,Onların yiyecekleri yoktu.
They had nothing.,Onların bir şeyi yoktu.
They had weapons.,Onların silahları vardı.
They have a plan.,Onların bir planı var.
They have failed.,Onlar başarısız oldu.
They have plenty.,Onların çok var.
They have talent.,Onların yeteneği var.
They hurried off.,Aceleyle gittiler.
They hurried out.,Aceleyle dışarı çıktılar.
They ignored Tom.,Tom'u görmezden geldiler.
They just looked.,Az önce baktılar.
They kept moving.,Onlar ilerlemeye devam ettiler.
They know I know.,Onlar bildiğimi biliyor.
They know better.,Onlar daha iyi biliyorlar.
They lied to you.,Onlar size yalan söylediler.
They like apples.,Onlar elma severler.
They live nearby.,Onlar yakında yaşarlar.
They look lovely.,Onlar sevimli görünüyorlar.
They look pretty.,Onlar güzel görünüyorlar.
They looked away.,Yüzünü yana çevirdiler.
They looked back.,Geriye baktılar.
They looked good.,Onlar iyi görünüyordu.
They love coffee.,Onlar kahveyi severler.
They made her go.,Onlar onu gönderdiler.
They made us pay.,Onlar bize ödetti.
They might agree.,Onlar aynı fikirde olabilirler.
They need a hero.,Onların bir kahramana ihtiyacı var.
They need us now.,Şimdi onların bize ihtiyacı var.
They needed help.,Onların yardıma ihtiyacı vardı.
They needed more.,Onların daha fazlasına ihtiyacı vardı.
They play soccer.,Onlar futbol oynar.
They ran outside.,Onlar dışarıya koştular.
They respect him.,Onlar ona saygı duyuyorlar.
They saw nothing.,Onlar hiçbir şey görmediler.
They seem scared.,Onlar korkmuş görünüyorlar.
They seemed real.,Onlar gerçek görünüyordu.
They shook hands.,Onlar tokalaştılar.
They slowed down.,Onlar yavaşladılar.
They spoke to me.,Onlar benimle konuştu.
They spotted Tom.,Onlar Tom'u gördüler.
They stayed late.,Onlar geç kaldı.
They stood there.,Orada durdular.
They thanked God.,Onlar Allah'a şükrettiler.
They took a walk.,Onlar bir yürüyüşe çıktı.
They trusted Tom.,Onlar Tom'a güvendiler.
They trusted you.,Onlar sana güvendi.
They walked away.,Onlar uzaklaştılar.
They walked home.,Onlar eve yürüdü.
They went inside.,Onlar içeri girdiler.
They were a team.,Onlar bir takımdı.
They were afraid.,Onlar korktular.
They were asleep.,Onlar uyuyorlardı.
They were closed.,Onlar kapalıydı.
They were crying.,Onlar ağlıyorlardı.
They were dating.,Onlar flört ediyorlardı.
They were family.,Onlar aileydiler.
They were heroes.,Onlar kahramanlardı.
They were hungry.,Onlar açtı.
They were killed.,Onlar öldürüldü.
They were scared.,Onlar korkmuşlardı.
They were silent.,Onlar sessizdiler.
They were skiing.,Onlar kayak yapıyordu.
They were unfair.,Onlar haksızdı.
They will return.,Onlar dönecekler.
They won the day.,Onlar günü kazandılar.
They won't budge.,Onlar hareket etmeyecekler.
They won't do it.,Onlar onu yapmayacaklar.
They work for me.,Onlar benim için çalışırlar.
They worked hard.,Onlar çok çalıştı.
They'd like that.,Onlar onu istiyorlar.
They'll catch us.,Onlar bizi yakalayacaklar.
They'll find Tom.,Onlar Tom'u bulacaklar.
They'll find her.,Onlar onu bulacaklar.
They'll find him.,Onlar onu bulacaklar.
They'll find you.,Onlar seni bulacaklar.
They'll find you.,Seni bulacaklar.
They'll find you.,Seni bulurlar.
They'll kill you.,Onlar seni öldürecekler.
They'll remember.,Onlar unutmayacaklar.
They'll remember.,Onlar hatırlayacaklar.
They'll want Tom.,Onlar Tom'u talep edecek.
They're a couple.,Onlar bir çift.
They're adorable.,Onlar sevimli.
They're after me.,Onlar benim peşimdeler.
They're after us.,Onlar bizim peşimizdeler.
They're all dead.,Onların hepsi öldü.
They're all fake.,Onların hepsi sahte.
They're all fine.,Onların hepsi iyi.
They're all gone.,Onların hepsi öldü.
They're all good.,Onların hepsi iyi.
They're all here.,Onların hepsi burada.
They're all mine.,Onların hepsi benim.
They're all nuts.,Onların hepsi deli.
They're all safe.,Onların hepsi güvende.
They're amateurs.,Onlar amatörler.
They're bluffing.,Onlar blöf yapıyorlar.
They're brothers.,Onlar kardeştir.
They're children.,Onlar çocuklar.
They're dreadful.,Onlar korkunçlar.
They're drenched.,Onlar sırılsıklam.
They're escaping.,Onlar kaçıyorlar.
They're fabulous.,Onlar inanılmaz.
They're fearless.,Onlar korkusuz.
They're fighting.,Onlar kavga ediyorlar.
They're finished.,Onlar hazır.
They're gorgeous.,Onlar çok çekiciler.
They're harmless.,Onlar temiz kalpliler.
They're horrible.,Onlar korkunçlar.
They're immature.,Onlar olgunlaşmamışlar.
They're involved.,Onlar ilgili.
They're laughing.,Gülüyorlar.
They're mistaken.,Onlar hatalı.
They're my books.,Onlar benim kitaplarım.
They're not busy.,Onlar meşgul değil.
They're not dead.,Onlar ölü değil.
They're not evil.,Onlar kötü değil.
They're not good.,Onlar iyi değil.
They're not here.,Onlar burada değil.
They're not mine.,Onlar benim değil.
They're not real.,Onlar gerçek değil.
They're not sure.,Onlar emin değil.
They're pathetic.,Onlar acınacak durumdalar.
They're so funny.,Onlar çok komik.
They're so right.,Onlar çok haklı.
They're stalling.,Onlar oyalıyorlar.
They're starving.,Onlar açlıktan ölüyorlar.
They're teachers.,Onlar öğretmen.
They're teachers.,Onlar öğretmendir.
They're teachers.,Onlar öğretmenlerdir.
They're terrible.,Onlar korkunçlar.
They're the same.,Onlar aynılar.
They're the same.,Onlar benzerler.
They're too late.,Onlar çok geç kaldı.
They're traitors.,Onlar hain.
They're unharmed.,Onlar sağ salimler.
They're upstairs.,Üst kattalar.
They're watching.,Onlar izliyorlar.
They're well off.,Onlar iyi durumda.
They've all left.,Onların hepsi gitti.
They've got guns.,Onların silahları var.
They've seen Tom.,Onlar Tom'u gördü.
Things are tense.,İşler gergin.
Things got messy.,Şeyler karmakarışık oldu.
Things got scary.,Şeyler korkunç oldu.
Things got weird.,İşler tuhaflaştı.
Things got worse.,İşler daha kötü oldu.
Things look good.,İşler iyi görünüyorlar.
Think about that.,Onun hakkında düşünün.
Think about them.,Onlar hakkında düşünün.
Think about this.,Bunu düşünün.
Think about this.,Bunun hakkında düşünün.
This bag is mine.,Bu çanta benim.
This bed is cold.,Bu yatak soğuk.
This book is new.,Bu kitap yeni.
This book is old.,Bu kitap eski.
This boy is lazy.,Bu çocuk tembel.
This can be done.,Bu yapılabilir.
This can't go on.,Bu devam edemez.
This car is fast.,Bu araba hızlı.
This car is good.,Bu araba iyi.
This car is mine.,Bu araba benim.
This car must go.,Bu araba gitmeli.
This didn't work.,Bu işe yaramadı.
This disturbs me.,Bu beni rahatsız ediyor.
This doesn't fit.,Bu uymuyor.
This dog is mine.,Bu köpek benim.
This feels right.,Bu doğru.
This feels weird.,Bu tuhaf.
This fish is big.,Bu balık büyüktür.
This game is fun.,Bu oyun eğlencelidir.
This guy's tough.,Bu adam kabadayı.
This has to stop.,Bu durmalı.
This hat is mine.,Bu şapka benim.
This is Room 839.,Bu oda 839'dur.
This is Room 839.,"Bu, Oda 839."
This is a hybrid.,Bu melez.
This is a luxury.,Bu bir lüks.
This is a pencil.,Bu bir kurşun kalemdir.
This is a pencil.,Bu bir kurşun kalem.
This is a secret.,Bu bir sır.
This is above me.,Bu beni aşar.
This is accurate.,Bu doğru.
This is an apple.,Bu bir elma.
This is an error.,Bu bir hata.
This is an order.,Bu bir emirdir.
This is annoying.,Bu can sıkıcı.
This is bad news.,Bu kötü haber.
This is big news.,Bu önemli haber.
This is critical.,Bu kritik.
This is dreadful.,Bu korkunç.
This is evidence.,Bu kanıttır.
This is exciting.,Bu heyecan verici.
This is fabulous.,Bu harika.
This is familiar.,Bu tanıdık.
This is from Tom.,Bu Tom'dandır.
This is her book.,Bu onun kitabı.
This is home now.,Burası artık ev.
This is hopeless.,Bu umutsuz.
This is horrible.,Bu dehşet.
This is insanity.,Bu deli.
This is my child.,Bu benim çocuğum.
This is my coach.,Bu benim koçum.
This is my fault.,Bu benim hatam.
This is my horse.,Bu benim atım.
This is my house.,Bu benim evim.
This is my house.,Bu benim evimdir.
This is my house.,Burası benim evim.
This is my money.,Bu benim param.
This is my phone.,Bu benim telefonum.
This is my place.,Bu benim yerim.
This is my rifle.,Bu benim tüfeğim.
This is my treat.,Ben ısmarlıyorum.
This is nonsense.,Bu saçmalık.
This is not fair.,Bu adil değil.
